date,Rainfall,Temperature,us_cpi,Argentina_gdp,Belize_gdp,Bolivia_gdp,Brazil_gdp,Chile_gdp,Costa Rica_gdp,Ecuador_gdp,Guatemala_gdp,Guyana_gdp,Honduras_gdp,Latin America & Caribbean (excluding high income)_gdp,Latin America & Caribbean_gdp,Nicaragua_gdp,Panama_gdp,Peru_gdp,Paraguay_gdp,El Salvador_gdp,Latin America & the Caribbean (IDA & IBRD countries)_gdp,United States_gdp,Argentina_fert,Belize_fert,Bolivia_fert,Brazil_fert,Chile_fert,Costa Rica_fert,Ecuador_fert,Guatemala_fert,Guyana_fert,Honduras_fert,Latin America & Caribbean (excluding high income)_fert,Latin America & Caribbean_fert,Nicaragua_fert,Panama_fert,Peru_fert,Paraguay_fert,El Salvador_fert,Latin America & the Caribbean (IDA & IBRD countries)_fert,United States_fert,Argentina_value,Belize_value,Brazil_value,Chile_value,Costa Rica_value,Ecuador_value,El Salvador_value,Guatemala_value,Guyana_value,Honduras_value,Nicaragua_value,Panama_value,Paraguay_value,Peru_value,Argentina_employ,Belize_employ,Bolivia_employ,Brazil_employ,Chile_employ,Costa Rica_employ,Ecuador_employ,El Salvador_employ,Guatemala_employ,Guyana_employ,Honduras_employ,Nicaragua_employ,Panama_employ,Paraguay_employ,Peru_employ,United States_employ,Latin America & Caribbean_employ,Latin America & Caribbean (excluding high income)_employ,Latin America & the Caribbean (IDA & IBRD countries)_employ,Belize_cpi,Bolivia_cpi,Brazil_cpi,Chile_cpi,Costa Rica_cpi,Ecuador_cpi,Guatemala_cpi,Guyana_cpi,Honduras_cpi,Latin America & Caribbean (excluding high income)_cpi,Latin America & Caribbean_cpi,Nicaragua_cpi,Panama_cpi,Peru_cpi,Paraguay_cpi,El Salvador_cpi,Latin America & the Caribbean (IDA & IBRD countries)_cpi,commodity,Stock_Close,Argentina_dg,Bolivia_dg,Brazil_dg,Chile_dg,Colombia_dg,Cuba_dg,Ecuador_dg,Guyana_dg,Haiti_dg,Mexico_dg,Panama_dg,Peru_dg,Uruguay_dg,Venezuela_dg
2020-01,2.76,35.5,257.971,8535.59938,5227.193638,3099.94219,7074.193783,13114.81547,12394.0494,5463.645096,4477.617618,6775.709391,2307.614943,6940.278963,7444.660734,1931.615158,13290.56083,6133.325524,5365.472207,3997.192796,7240.560061,64411.37318,1.911,1.999,2.651,1.649,1.537,1.555,2.051,2.484,2.418,2.394,1.886047769,1.886303448,2.349,2.344,2.216,2.497,1.819,1.896858938,1.6415,6003.415422908672,405.6466788971152,0.0,39940.02433385432,2099.4297398370118,8541.23656270549,3213.943808933064,7512.591637071615,2417.059636163007,967.4434622370364,536.733897931902,3858.087302621945,2319.0099962614754,12196.0326827216,49.6,54.854,64.175,52.03,50.194,50.66,56.406,53.769,55.952,41.821,53.851,60.295,52.58,64.826,63.972,56.38,53.3927144039801,53.9084731921246,53.5146237987151,0.121434645,0.940742153,3.211768038,3.045490848,0.7249114780000001,0.0,3.214440622,0.993337023,3.46841178,2.002412058,0.993337023,3.681813416,0.0,2.002412058,1.767515924,0.0,1.380426473,107.3732691,2603.24,1.0,0.0,56.0,135.0,2.0,48.0,11.0,1.0,1141.0,0.5509383378016086,0.0,1.0,0.0,9.0
2020-02,2.45,36.2,258.678,8722.143026830601,5303.035048896175,3124.073290887978,7150.282932937158,13377.532438797814,12431.661813497269,5515.494506904372,4514.574489150274,7037.021006390711,2343.826718224044,7029.732495071038,7542.208683948087,1948.3004970382517,13478.529760273224,6192.077002068306,5417.262500226776,4051.859062898907,7337.294837243169,64996.38673076503,1.9087978142076505,1.9999316939890712,2.648204918032787,1.6483224043715847,1.537,1.553136612021858,2.0488825136612023,2.47646174863388,2.41622131147541,2.3913743169398907,1.883248281136612,1.883667304387978,2.3466284153005468,2.3423907103825137,2.213967213114754,2.4946284153005465,1.8176448087431691,1.8942302941857925,1.643405737704918,5975.00195803125,404.6423732088587,0.0,39184.82717642733,2090.244531560834,8427.346626510038,3211.31013774852,7082.397932799676,2241.7634366184734,967.632287894939,543.8875011683726,3913.5904271727272,2264.329900096846,12297.485725349025,50.06457650273224,54.91201912568306,64.21218306010928,52.20321038251366,50.364669398907104,50.808224043715846,56.94646721311475,54.0015,56.09725956284153,41.83565300546448,54.13990983606557,60.30253825136612,52.85603551912568,64.98159289617486,64.3353606557377,56.5126393442623,53.61727212361361,54.14514266982786,53.742780160064285,0.3852058481612022,0.9235178049344264,3.6428790851530057,3.17076790697541,0.8097435770792349,0.0,3.303087972306011,1.33548205145082,3.5541672539726776,2.19371756536612,1.2052313866092896,3.787399801636612,0.0,2.1946164417896177,2.023347843363388,0.0,1.591974195625683,102.2110146587912,2385.19,1.0,0.0,89.0,125.0,2.0,45.0,4.0,1.0729411764705883,1321.0,0.5924932975871313,1.0,1.0,0.0,20.0
2020-03,2.86,46.1,258.115,8896.65159967213,5373.983465540983,3146.647546557377,7221.463105459016,13623.299925737703,12466.847619672131,5563.99879452459,4549.147046032787,7281.473807885246,2377.702249885246,7113.41483152459,7633.463217770492,1963.909362590164,13654.371662786883,6247.0380621967215,5465.711484213114,4102.998473868853,7427.788660180328,65543.65747180328,1.9067377049180327,2.0008032786885246,2.645590163934426,1.647688524590164,1.537,1.5513934426229508,2.0469016393442625,2.469409836065574,2.4145573770491806,2.388918032786885,1.8806294053934425,1.8812012345573768,2.344409836065574,2.340885245901639,2.212065573770492,2.492409836065573,1.816377049180328,1.891771240295082,1.6451885245901638,5948.421619920114,403.7028614359736,0.0,38478.35241625369,2081.6519173669903,8320.804428133648,3208.846380833947,6679.95866106141,2077.776669302619,967.8089312523318,550.5795816153936,3965.512704978297,2213.17755207187,12392.393410387578,50.49918032786886,54.96629508196721,64.24696721311476,52.36524590163935,50.52432786885246,50.94688524590163,57.45206557377049,54.219,56.23314754098361,41.849360655737705,54.41018032786885,60.30959016393443,53.11426229508197,65.1271475409836,64.67527868852459,56.63672131147541,53.82734224843205,54.36654314896962,53.956216756165134,0.6319595543442623,0.9074047051311476,4.046176516360656,3.2879625750491805,0.8891026375081967,0.0,3.3860161387213115,1.6555532070983607,3.634390116721312,2.372680781934426,1.4034551461147542,3.8861741623934414,0.0,2.3744205427540983,2.262674477606557,0.2576747166885246,1.789873678081967,97.3818088912088,2070.8,1.0,0.0,44.0,151.0,2.0,16.0,6.0,1.1411764705882352,777.0,0.631367292225201,2.0,1.0,0.0,3.0
2020-04,2.52,50.9,256.389,9083.195246502732,5449.824876437158,3170.7786474453555,7297.552255396175,13886.016894535518,12504.460033169398,5615.848205428962,4586.103917183061,7542.785423275956,2413.914025109289,7202.868363595629,7731.01116771858,1980.5947016284156,13842.34059306011,6305.789540265027,5517.50177743989,4157.664740767759,7524.5234364234975,66128.6710225683,1.9045355191256832,2.001734972677596,2.642795081967213,1.6470109289617487,1.537,1.5495300546448088,2.0447841530054647,2.4618715846994537,2.41277868852459,2.386292349726776,1.8778299175300543,1.8785650909453555,2.3420382513661204,2.339275956284153,2.2100327868852463,2.49003825136612,1.815021857923497,1.8891425964808743,1.647094262295082,5920.008155042692,402.69855574771714,0.0,37723.15525882671,2072.466709090813,8206.914491938196,3206.212709649404,6249.764956789471,1902.4804697580855,967.9977569102344,557.7331848518644,4021.01582952908,2158.4974559072407,12493.846453015,50.96375683060109,55.02431420765027,64.28415027322404,52.53845628415301,50.69499726775957,51.09510928961748,57.99253278688524,54.4515,56.37840710382513,41.864013661202186,54.69909016393443,60.317128415300544,53.39029781420765,65.28274043715847,65.0386393442623,56.76936065573771,54.05189996806556,54.60321262667288,54.18437311751432,0.8957307575054645,0.8901803570655737,4.477287563513661,3.41323963402459,0.9739347365874318,0.0,3.4746634890273222,1.9976982355491808,3.720145590693989,2.5639862893005465,1.6153495097240438,3.9917605480300544,0.0,2.566624926543716,2.5185063969699453,0.5827949298442623,2.0014214007076503,92.21955445,2281.21,1.0,0.0,32.880434782608695,104.5,1.7973856209150327,14.652173913043478,4.315217391304348,1.2141176470588235,552.5869565217391,0.6729222520107239,2.3369565217391304,1.0,0.0,2.6630434782608696
2020-05,3.09,60.9,256.394,9263.721356338798,5523.2197902076505,3194.131325724044,7371.186916625683,14140.259122404372,12540.859143005464,5666.025054691257,4621.868631199453,7795.667631718579,2448.9576785519125,7289.436297857924,7825.412409603826,1996.7418039234967,14024.246009453553,6362.645809363388,5567.621416046448,4210.567579702186,7618.137736013661,66694.81316846995,1.9024043715846997,2.002636612021858,2.640090163934426,1.6463551912568306,1.537,1.547726775956284,2.042734972677596,2.4545765027322406,2.4110573770491803,2.3837513661202188,1.875120735726776,1.876013984224044,2.3397431693989077,2.3377185792349726,2.208065573770492,2.487743169398907,1.813710382513661,1.8865987476284156,1.648938524590164,5892.511253548413,401.7266470171464,0.0,36992.3193000264,2063.5777978558026,8096.698424652276,3203.6639955998453,5833.448468784368,1732.838986327892,968.180491417882,564.6560266936103,4074.7285307072552,2105.581233812438,12592.026816847989,51.41334699453552,55.08046174863388,64.32013387978142,52.70607923497268,50.86016120218579,51.23855191256831,58.51556557377049,54.6765,56.51898087431694,41.87819398907104,54.97868032786885,60.32442349726776,53.65742896174864,65.43331420765027,65.39027868852459,56.89772131147541,54.26921389029153,54.83224760509538,54.40516959623933,1.1509932121775956,0.8735116331311475,4.894491802693989,3.534475497549181,1.05603031634153,0.0,3.560451247387978,2.328806327598361,3.803134759054645,2.7491206512677597,1.8204085712814209,4.093940921226776,0.0,2.752629168920765,2.766085673773224,0.8974273941885246,2.2061450032486336,96.97087211483516,2377.53,1.0,0.0,22.119565217391305,59.5,1.6013071895424837,13.347826086956522,2.6847826086956523,1.2847058823529411,335.4130434782609,0.7131367292225201,2.6630434782608696,1.0,0.0,2.3369565217391304
2020-06,2.73,70.3,257.797,9450.2650031694,5599.061201103825,3218.262426612022,7447.276066562841,14402.976091202185,12578.471556502733,5717.874465595629,4658.825502349727,8056.97924710929,2485.1694537759563,7378.889829928962,7922.960359551913,2013.4271429617488,14212.214939726777,6421.397287431694,5619.411709273224,4265.233846601093,7714.872512256831,67279.82671923497,1.9002021857923497,2.003568306010929,2.637295081967213,1.645677595628415,1.537,1.545863387978142,2.040617486338798,2.4470382513661204,2.4092786885245903,2.3811256830601093,1.872321247863388,1.8733778406120216,2.337371584699454,2.3361092896174864,2.2060327868852463,2.485371584699453,1.8123551912568303,1.883970103814208,1.650844262295082,5864.097788670992,400.7223413288899,0.0,36237.122142599415,2054.392589579625,7982.808488456824,3201.030324415301,5403.254764512429,1557.542786783359,968.3693170757848,571.809629930081,4130.231655258038,2050.9011376478084,12693.479859475408,51.87792349726776,55.13848087431694,64.35731693989071,52.87928961748634,51.0308306010929,51.38677595628415,59.05603278688525,54.909,56.66424043715847,41.89284699453552,55.26759016393443,60.33196174863388,53.93346448087431,65.58890710382514,65.7536393442623,57.0303606557377,54.49377160992504,55.06891708279864,54.63332595758852,1.4147644153387977,0.8562872850655738,5.3256028498469945,3.65975255652459,1.1408624154207652,0.0,3.649098597693989,2.670951356049181,3.8888902330273214,2.94042615863388,2.0323029348907102,4.199527306863388,0.0,2.9448335527103824,3.021917593136612,1.222547607344262,2.417692725874317,101.88056703516484,2441.63,1.0,0.0,11.0,13.0,1.3986928104575163,12.0,1.0,1.3576470588235294,111.0,0.7546916890080428,3.0,1.0,0.0,2.0
2020-07,2.94,75.6,259.101,9630.791113005464,5672.456114874317,3241.6151048907104,7520.910727792349,14657.218319071038,12614.870666338798,5768.051314857924,4694.59021636612,8309.861455551913,2520.21310721858,7465.457764191256,8017.361601437159,2029.5742452568304,14394.120356120218,6478.253556530055,5669.531347879782,4318.136685535519,7808.486811846995,67845.96886513662,1.898071038251366,2.0044699453551917,2.6345901639344262,1.6450218579234972,1.537,1.5440601092896171,2.0385683060109288,2.439743169398907,2.4075573770491805,2.378584699453552,1.8696120660601088,1.8708267338907103,2.3350765027322407,2.334551912568306,2.204065573770492,2.4830765027322403,1.8110437158469943,1.8814262549617489,1.652688524590164,5836.6008871767135,399.7504325983191,0.0,35506.28618379911,2045.5036783446144,7872.592421170903,3198.481610365743,4986.938276507326,1387.9013033531648,968.5520515834324,578.7324717718269,4183.944356436214,1997.9849155530055,12791.660223308398,52.32751366120219,55.19462841530055,64.39330054644809,53.04691256830601,51.19599453551913,51.53021857923497,59.57906557377049,55.134,56.804814207650274,41.90702732240437,55.54718032786885,60.33925683060109,54.2005956284153,65.73948087431694,66.10527868852459,57.15872131147541,54.71108553215102,55.29795206122115,54.85412243631353,1.6700268700109289,0.8396185611311475,5.7428070890273215,3.780988420049181,1.2229579951748637,0.0,3.734886356054645,3.002059448098361,3.971879401387978,3.125560520601093,2.2373619964480875,4.301707680060109,0.0315227836448086,3.130837795087432,3.269496869939891,1.5371800716885249,2.6224163284153006,106.6318847,2552.65,1.0,0.0,8.065217391304348,11.695652173913043,1.2026143790849673,9.843137254901961,1.2459016393442623,1.428235294117647,98.6086956521739,0.7949061662198391,3.6521739130434785,1.0,0.0,2.9782608695652173
2020-08,2.42,74.7,259.918,9817.334759836063,5748.297525770492,3265.746205778689,7596.999877729508,14919.935287868851,12652.483079836064,5819.900725762295,4731.547087516394,8571.173070942623,2556.424882442623,7554.911296262295,8114.909551385246,2046.259584295082,14582.089286393442,6537.005034598361,5721.321641106557,4372.8029524344265,7905.221588090164,68430.98241590164,1.8958688524590164,2.0054016393442624,2.631795081967213,1.644344262295082,1.537,1.5421967213114751,2.036450819672131,2.4322049180327867,2.40577868852459,2.3759590163934425,1.8668125781967213,1.8681905902786888,2.3327049180327872,2.33294262295082,2.2020327868852463,2.480704918032787,1.809688524590164,1.878797611147541,1.654594262295082,5808.187422299292,398.7461269100626,0.0,34751.08902637212,2036.318470068437,7758.7024849754525,3195.8479391812,4556.744572235388,1212.6051038086314,968.7408772413348,585.8860750082977,4239.447480986995,1943.304819388376,12893.113265935815,52.792090163934425,55.25264754098361,64.43048360655737,53.22012295081967,51.36666393442624,51.67844262295082,60.119532786885244,55.3665,56.950073770491805,41.92168032786885,55.83609016393443,60.346795081967215,54.476631147540985,65.8950737704918,66.4686393442623,57.291360655737705,54.935643251784526,55.53462153892441,55.08227879766272,1.9337980731721311,0.8223942130655738,6.173918136180327,3.90626547902459,1.3077900942540983,0.0,3.823533706360656,3.3442044765491805,4.057634875360655,3.3168660279672126,2.449256360057377,4.407294065696721,0.3009499481557376,3.323042178877049,3.5253287893032788,1.8623002848442625,2.833964051040984,110.20755395652174,2708.81,1.0,0.0,5.032608695652174,10.347826086956522,1.0,7.614379084967321,1.5,1.5011764705882351,85.80434782608695,0.8364611260053619,4.326086956521739,1.0,0.0,3.9891304347826084
2020-09,2.44,65.9,260.28,10003.878406666669,5824.138936666666,3289.8773066666668,7673.089027666667,15182.652256666666,12690.095493333332,5871.750136666667,4768.503958666667,8832.484686333333,2592.636657666667,7644.364828333333,8212.457501333334,2062.944923333333,14770.058216666666,6595.756512666667,5773.111934333333,4427.469219333334,8001.956364333334,69015.99596666667,1.8936666666666664,2.006333333333333,2.629,1.6436666666666666,1.537,1.540333333333333,2.034333333333333,2.4246666666666665,2.404,2.373333333333333,1.8640130903333327,1.8655544466666667,2.3303333333333334,2.3313333333333333,2.2,2.478333333333333,1.8083333333333331,1.8761689673333333,1.6565,5779.77395742187,397.74182122180616,0.0,33995.89186894513,2027.1332617922596,7644.812548780001,3193.214267996656,4126.550867963448,1037.3089042640977,968.9297028992376,593.0396782447683,4294.950605537778,1888.6247232237467,12994.56630856324,53.25666666666667,55.31066666666667,64.46766666666667,53.39333333333334,51.537333333333336,51.82666666666666,60.66,55.599,57.095333333333336,41.93633333333333,56.125,60.35433333333334,54.75266666666666,66.05066666666666,66.832,57.424,55.16020097141804,55.771291016627664,55.3104351590119,2.197569276333333,0.8051698650000001,6.6050291833333326,4.031542538,1.3926221933333336,0.0,3.9121810566666655,3.686349505,4.143390349333333,3.508171535333333,2.6611507236666667,4.512880451333333,0.5703771126666668,3.5152465626666665,3.7811607086666665,2.187420498,3.0455117736666666,113.78322321304348,2613.36,1.0,0.0,2.0,9.0,2.0,5.38562091503268,1.7540983606557377,1.5741176470588236,73.0,0.8780160857908847,5.0,1.0,0.0,5.0
2020-10,2.18,54.3,260.388,10184.404516502733,5897.533850437158,3313.229984945355,7746.723688896174,15436.894484535518,12726.494603169398,5921.926985928962,4804.268672683061,9085.366894775956,2627.680311109289,7730.932762595628,8306.85874321858,2079.0920256284157,14951.96363306011,6652.612781765028,5823.231572939891,4480.37205826776,8095.570663923498,69582.13811256831,1.891535519125683,2.0072349726775958,2.626295081967213,1.6430109289617487,1.537,1.5385300546448086,2.0322841530054645,2.417371584699453,2.40227868852459,2.370792349726776,1.861303908530055,1.8630033399453552,2.32803825136612,2.329775956284153,2.1980327868852463,2.47603825136612,1.807021857923497,1.8736251184808743,1.658344262295082,5752.277055927591,396.7699124912354,0.0,33265.05591014482,2018.244350557249,7534.59648149408,3190.6655539470976,3710.2343799583455,867.6674208339041,969.1124374068852,599.9625200865141,4348.663306715954,1835.708501128944,13092.746672396228,53.70625683060109,55.36681420765027,64.50365027322404,53.56095628415301,51.70249726775957,51.97010928961748,61.18303278688524,55.824,57.235907103825134,41.95051366120219,56.40459016393443,60.361628415300544,55.01979781420765,66.20124043715846,67.18363934426229,57.5523606557377,55.37751489364401,56.000325995050176,55.53123163773692,2.4528317310054644,0.7885011410655738,7.0222334225136605,4.15277840152459,1.474717773087432,0.014575463409836,3.997968815027322,4.01745759704918,4.226379517693989,3.6933058973005455,2.866209785224044,4.615060824530055,0.8311130783224043,3.701250805043716,4.0287399854699455,2.502052962344262,3.2502353762076504,117.2435483,2539.05,1.0,0.0,17.0,19.0,2.0,3.2287581699346415,2.0,1.644705882352941,279.0,0.918230563002681,31.0,1.0,0.0,5.0
