code,iso,country,EPI.old,EPI.new,EPI(Change)
620,PRT,Portugal,57.8,61.9,4.1
634,QAT,Qatar,41.2,46.8,5.59999999999999
178,COG,Republic of Congo,40.7,41.6,0.899999999999999
642,ROU,Romania,60.4,57.3,-3.1
643,RUS,Russia,46.8,46.7,-0.0999999999999943
646,RWA,Rwanda,34.2,33.9,-0.300000000000004
662,LCA,Saint Lucia,49,51.1,2.1
670,VCT,Saint Vincent and the Grenadines,53.4,54.2,0.800000000000004
882,WSM,Samoa,41.1,47.1,6
678,STP,Sao Tome and Principe,34.4,36.2,1.8
682,SAU,Saudi Arabia,33,42.5,9.5
686,SEN,Senegal,39,43.8,4.8
688,SRB,Serbia,55.4,49.8,-5.6
690,SYC,Seychelles,51.8,47.9,-3.9
694,SLE,Sierra Leone,34.6,39.9,5.3
702,SGP,Singapore,46.5,53,6.5
703,SVK,Slovakia,66.7,65.1,-1.60000000000001
705,SVN,Slovenia,62.4,62.4,0
90,SLB,Solomon Islands,40.6,42.2,1.6
710,ZAF,South Africa,38.3,42.7,4.40000000000001
410,KOR,South Korea,45.7,50.6,4.9
724,ESP,Spain,61.8,64,2.2
144,LKA,Sri Lanka,37,38.8,1.8
729,SDN,Sudan,35.2,39.1,3.9
740,SUR,Suriname,48.3,56.9,8.6
752,SWE,Sweden,70.1,70.3,0.200000000000003
756,CHE,Switzerland,65.5,67.8,2.3
158,TWN,Taiwan,50.2,50.1,-0.100000000000001
762,TJK,Tajikistan,36.5,32.3,-4.2
834,TZA,Tanzania,38,43.6,5.6
764,THA,Thailand,41.2,45.7,4.5
626,TLS,Timor-Leste,40.3,49.9,9.6
768,TGO,Togo,36.8,35.7,-1.09999999999999
776,TON,Tonga,47.7,40.4,-7.3
780,TTO,Trinidad and Tobago,51.5,52.5,1
788,TUN,Tunisia,44.8,45.3,0.5
792,TUR,Turkiye,35.6,37.2,1.6
795,TKM,Turkmenistan,35.7,40.6,4.9
800,UGA,Uganda,31.6,35.8,4.2
804,UKR,Ukraine,47.3,54.6,7.3
784,ARE,United Arab Emirates,42.5,51.6,9.1
826,GBR,United Kingdom,71.3,72.6,1.3
840,USA,United States of America,57,57.2,0.200000000000003
858,URY,Uruguay,43.6,44.1,0.5
860,UZB,Uzbekistan,43.9,42.6,-1.3
548,VUT,Vanuatu,35.7,45,9.3
862,VEN,Venezuela,52.2,53.3,1.09999999999999
704,VNM,Viet Nam,28.3,24.6,-3.7
894,ZMB,Zambia,42.8,46.7,3.90000000000001
716,ZWE,Zimbabwe,42.1,51.6,9.5
